# LGT CLDC module (table 0x64) export order
# Recovered from liblgt_system.so 'cldc' export table [index, function, name].
# Index == the (0x64, index) import slot. Authoritative ABI mapping.

0x01	cldc_module_init
0x02	cldc_module_exit
0x03	cldc_module_activate
0x04	vm_register_classes
0x05	vm_activate_classes
0x06	vm_unregister_classes
0x07	vm_register_classes_on_process
0x08	vm_activate_base_classes
0x09	vm_get_constant_string
0x0a	vm_get_class
0x0b	vm_initialize_class_shared
0x0c	vm_activate_class
0x0d	vm_initialize_class
0x0e	vm_get_array_class
0x0f	vm_instantiate
0x10	vm_instantiate_array
0x11	vm_instantiate_multi_array
0x12	vm_class_is_assignable_to
0x13	vm_resolve_one
0x14	vm_resolve_lists
0x15	vm_instantiate_string
0x16	vm_instantiate_string_from_unicode
0x17	vm_instantiate_interned_string_from_unicode
0x18	vm_instantiate_string_from_local_code
0x19	vm_get_string_contents
0x1a	vm_get_unicode_string_contents
0x1b	vm_get_local_code_string_contents
0x1c	vm_get_string_contents_in_buffer
0x1d	vm_get_unicode_string_contents_in_buffer
0x1e	vm_get_local_code_string_contents_in_buffer
0x1f	vm_alloc_save_point
0x20	vm_free_save_point
0x21	vm_throw_exception
0x22	vm_throw_null_pointer_exception
0x23	vm_throw_array_index_out_of_bounds_exception
0x24	vm_throw_array_store_exception
0x25	vm_throw_arithmetic_exception
0x26	vm_throw_class_cast_exception
0x27	vm_throw_negative_array_size_exception
0x28	vm_throw_out_of_memory_error
0x29	vm_throw_illegal_argument_exception
0x2a	vm_throw_class_not_found_exception
0x2b	vm_throw_illegal_access_exception
0x2c	vm_throw_illegal_monitor_state_exception
0x2d	vm_throw_illegal_thread_state_exception
0x2e	vm_throw_index_out_of_bounds_exception
0x2f	vm_throw_instantiation_exception
0x30	vm_throw_interrupted_exception
0x31	vm_throw_number_format_exception
0x32	vm_throw_runtime_exception
0x33	vm_throw_security_exception
0x34	vm_throw_string_index_out_of_bounds_exception
0x35	vm_throw_io_exception
0x36	vm_throw_no_class_def_found_error
0x37	vm_throw_virtual_machine_error
0x38	vm_throw_abstract_method_error
0x39	vm_throw_class_circularity_error
0x3a	vm_throw_class_format_error
0x3b	vm_throw_exception_in_initializer_error
0x3c	vm_throw_illegal_access_error
0x3d	vm_throw_incompatible_class_change_error
0x3e	vm_throw_instantiation_error
0x3f	vm_throw_no_such_field_error
0x40	vm_throw_no_such_method_error
0x41	vm_throw_stack_overflow_error
0x42	vm_throw_verify_error
0x43	vm_gc
0x44	vm_gc_register_root
0x45	vm_gc_unregister_root
0x46	vm_gc_register_cleanup
0x47	vm_gc_free_memory
0x48	vm_gc_total_memory
0x49	vm_gc_register_memory_info
0x4a	vm_gc_write_barrier
0x4b	vm_gc_write_barrier_object
0x4c	vm_gc_nullify_owner_object
0x4d	vm_gc_excessive
0x4e	vm_gc_debug_verify
0x4f	vm_thread_build
0x50	vm_thread_destroy
0x51	vm_thread_convert_java2native
0x52	vm_thread_convert_native2java
0x53	vm_get_exec_env
0x54	vm_check_stack_overflow
0x55	vm_thread_reschedule
0x56	vm_monitor_enter
0x57	vm_monitor_exit
0x58	vm_monitor_wait
0x59	vm_monitor_notify
0x5a	vm_iaload_impl
0x5b	vm_laload_impl
0x5c	vm_baload_impl
0x5d	vm_caload_impl
0x5e	vm_saload_impl
0x5f	vm_iastore_impl
0x60	vm_lastore_impl
0x61	vm_aastore_impl
0x62	vm_bastore_impl
0x63	vm_sastore_impl
0x64	vm_find_interface
0x65	vm_fmul
0x66	vm_fdiv
0x67	vm_fmod
0x68	vm_dmul
0x69	vm_ddiv
0x6a	vm_dmod
0x6b	vm_i2f
0x6c	vm_i2d
0x6d	vm_l2f
0x6e	vm_l2d
0x6f	vm_f2i
0x70	vm_f2l
0x71	vm_f2d
0x72	vm_d2i
0x73	vm_d2l
0x74	vm_d2f
0x75	vm_fadd
0x76	vm_fsub
0x77	vm_dadd
0x78	vm_dsub
0x79	vm_fneg
0x7a	vm_dneg
0x7b	vm_fcmpl
0x7c	vm_fcmpg
0x7d	vm_dcmpl
0x7e	vm_dcmpg
0x7f	vm_interpret
0x80	vm_resolve_constant_pools
0x81	vm_init_class_for_interpreter
0x82	vm_add_classpath
0x83	vm_run_main_class
0x84	VNI_GetVersion
0x85	VNI_FindClass
0x86	VNI_GetSuperClass
0x87	VNI_IsAssignableFrom
0x88	VNI_ThrowNew
0x89	VNI_FatalError
0x8a	VNI_GetObjectClass
0x8b	VNI_IsInstanceOf
0x8c	VNI_GetFieldID
0x8d	VNI_GetBooleanField
0x8e	VNI_GetByteField
0x8f	VNI_GetCharField
0x90	VNI_GetShortField
0x91	VNI_GetIntField
0x92	VNI_GetLongField
0x93	VNI_GetFloatField
0x94	VNI_GetDoubleField
0x95	VNI_GetObjectField
0x96	VNI_SetBooleanField
0x97	VNI_SetByteField
0x98	VNI_SetCharField
0x99	VNI_SetShortField
0x9a	VNI_SetIntField
0x9b	VNI_SetLongField
0x9c	VNI_SetFloatField
0x9d	VNI_SetDoubleField
0x9e	VNI_SetObjectField
0x9f	VNI_GetStaticFieldID
0xa0	VNI_GetStaticBooleanField
0xa1	VNI_GetStaticByteField
0xa2	VNI_GetStaticCharField
0xa3	VNI_GetStaticShortField
0xa4	VNI_GetStaticIntField
0xa5	VNI_GetStaticLongField
0xa6	VNI_GetStaticFloatField
0xa7	VNI_GetStaticDoubleField
0xa8	VNI_GetStaticObjectField
0xa9	VNI_SetStaticBooleanField
0xaa	VNI_SetStaticByteField
0xab	VNI_SetStaticCharField
0xac	VNI_SetStaticShortField
0xad	VNI_SetStaticIntField
0xae	VNI_SetStaticLongField
0xaf	VNI_SetStaticFloatField
0xb0	VNI_SetStaticDoubleField
0xb1	VNI_SetStaticObjectField
0xb2	VNI_GetStringLength
0xb3	VNI_GetStringRegion
0xb4	VNI_NewString
0xb5	VNI_NewStringUTF
0xb6	VNI_GetArrayLength
0xb7	VNI_GetBooleanArrayElement
0xb8	VNI_GetByteArrayElement
0xb9	VNI_GetCharArrayElement
0xba	VNI_GetShortArrayElement
0xbb	VNI_GetIntArrayElement
0xbc	VNI_GetLongArrayElement
0xbd	VNI_GetFloatArrayElement
0xbe	VNI_GetDoubleArrayElement
0xbf	VNI_GetObjectArrayElement
0xc0	VNI_SetBooleanArrayElement
0xc1	VNI_SetByteArrayElement
0xc2	VNI_SetCharArrayElement
0xc3	VNI_SetShortArrayElement
0xc4	VNI_SetIntArrayElement
0xc5	VNI_SetLongArrayElement
0xc6	VNI_SetFloatArrayElement
0xc7	VNI_SetDoubleArrayElement
0xc8	VNI_SetObjectArrayElement
0xc9	VNI_GetRawArrayRegion
0xca	VNI_SetRawArrayRegion
0xcb	VNI_GetParameterAsBoolean
0xcc	VNI_GetParameterAsByte
0xcd	VNI_GetParameterAsChar
0xce	VNI_GetParameterAsShort
0xcf	VNI_GetParameterAsInt
0xd0	VNI_GetParameterAsLong
0xd1	VNI_GetParameterAsFloat
0xd2	VNI_GetParameterAsDouble
0xd3	VNI_GetParameterAsObject
0xd4	VNI_GetThisPointer
0xd5	VNI_GetClassPointer
0xd6	VNI_NewBooleanArray
0xd7	VNI_NewByteArray
0xd8	VNI_NewCharArray
0xd9	VNI_NewShortArray
0xda	VNI_NewIntArray
0xdb	VNI_NewLongArray
0xdc	VNI_NewFloatArray
0xdd	VNI_NewDoubleArray
0xde	VNI_NewStringArray
0xdf	VNI_GetRawArrayPointer
0xe0	VNI_RegisterCleanup
0xe1	vm_get_string_class
0xe2	vm_get_string_array_class
0xe3	vm_gc_register_external_object
0xe4	vm_gc_unregister_external_object
0xe5	VNI_GetLocalStringLength
0xe6	VNI_GetLocalStringRegion
0xe7	VNI_NewStringLocal
0xe8	vm_gc_debug_dump_heap
0xe9	vm_push_stack_boolean
0xea	vm_push_stack_byte
0xeb	vm_push_stack_char
0xec	vm_push_stack_short
0xed	vm_push_stack_int
0xee	vm_push_stack_long
0xef	vm_push_stack_float
0xf0	vm_push_stack_double
0xf1	vm_push_stack_object
0xf2	vm_clean_up_hooked_save_points
0xf3	vm_iaload_impl_fast
0xf4	vm_laload_impl_fast
0xf5	vm_baload_impl_fast
0xf6	vm_caload_impl_fast
0xf7	vm_saload_impl_fast
0xf8	vm_iastore_impl_fast
0xf9	vm_lastore_impl_fast
0xfa	vm_aastore_impl_fast
0xfb	vm_bastore_impl_fast
0xfc	vm_sastore_impl_fast
0xfd	vm_lastore_impl_split
0xfe	vm_set_pending_exception
0xff	vm_throw_pending_exception
0x100	KNI_SetPendingException
0x101	KNI_ThrowPendingException
0x102	vm_gc_heap_stats
0x103	KNI_GetRawObjectPointer
0x104	KNI_SetRawObjectPointer
