# LGT WIPI-C module (table 0x1fb) export ids
# Recovered from liblgt_system.so '_export_table_wipic' [id, function, name].
# Id == the (0x1fb, id) import slot. Authoritative ABI mapping.

0x0001	wipic_init_func
0x0002	wipic_exit_func
0x0003	wipic_event_handler
0x0032	wipic_get_frame_pointer
0x0033	wipic_get_frame_width
0x0034	wipic_get_frame_height
0x0035	wipic_get_frame_bpl
0x0036	wipic_get_frame_bpp
0x0064	MC_knlPrintk
0x0065	MC_knlSprintk
0x0066	MC_knlGetExecNames
0x0067	MC_knlExecute
0x0068	MC_knlExit
0x0069	MC_knlProgramStop
0x006a	MC_knlGetCurProgramID
0x006b	MC_knlGetParentProgramID
0x006c	MC_knlGetAppManagerID
0x006d	MC_knlGetProgramInfo
0x006e	MC_knlGetAccessLevel
0x006f	MC_knlGetProgramName
0x0070	MC_knlCreateSharedBuf
0x0071	MC_knlDestroySharedBuf
0x0072	MC_knlGetSharedBuf
0x0073	MC_knlGetSharedBufSize
0x0074	MC_knlResizeSharedBuf
0x0075	MC_knlAlloc
0x0076	MC_knlCalloc
0x0077	MC_knlFree
0x0078	MC_knlGetTotalMemory
0x0079	MC_knlGetFreeMemory
0x007a	MC_knlDefTimer
0x007b	MC_knlSetTimer
0x007c	MC_knlUnsetTimer
0x007d	MC_knlCurrentTime
0x007e	MC_knlGetSystemProperty
0x007f	MC_knlSetSystemProperty
0x0080	MC_knlGetResourceID
0x0081	MC_knlGetResource
0x0082	MC_knlMExecute
0x0083	MC_knlLoad
0x0084	MC_knlUnload
0x0085	MC_knlGetDLLInterface
0x0086	MC_knlMLoad
0x0087	MC_knlSetRepeatTimer
0x0088	MC_knlNotifyUpgrade
0x0096	LGTC_knlGetProgramID
0x0097	LGTC_knlGetProgramExecName
0x0098	LGTC_knlIsEmptyEvtQueue
0x00c8	MC_grpGetImageProperty
0x00c9	MC_grpGetImageFrameBuffer
0x00ca	MC_grpGetScreenFrameBuffer
0x00cb	MC_grpDestroyOffScreenFrameBuffer
0x00cc	MC_grpCreateOffScreenFrameBuffer
0x00cd	MC_grpInitContext
0x00ce	MC_grpSetContext
0x00cf	MC_grpGetContext
0x00d0	MC_grpPutPixel
0x00d1	MC_grpDrawLine
0x00d2	MC_grpDrawRect
0x00d3	MC_grpFillRect
0x00d4	MC_grpCopyFrameBuffer
0x00d5	MC_grpDrawImage
0x00d6	MC_grpDrawImageRegion
0x00d7	MC_grpCopyArea
0x00d8	MC_grpDrawArc
0x00d9	MC_grpFillArc
0x00da	MC_grpDrawString
0x00db	MC_grpDrawUnicodeString
0x00dc	MC_grpGetRGBPixels
0x00dd	MC_grpSetRGBPixels
0x00de	MC_grpFlushLcd
