31 8000 2972 236,806,2172,5449,13309,32159
33 8000 938 236,-334,1032,4309,12169,15938
35 8000 938 236,-334,1032,4309,12169,15938
36 8000 938 236,-334,1032,4309,12169,15938
38 8000 2972 236,806,2172,5449,13309,32159
40 8000 2972 236,806,2172,5449,13309,32159
41 8000 3526 236,806,2172,5449,13309,32159
42 8000 1240 -236,334,1700,-1577,6283,-12567
43 8000 3526 236,806,2172,5449,13309,32159
44 8000 1240 -236,334,1700,-1577,6283,-12567
45 8000 3526 236,806,2172,5449,13309,32159
46 8000 3324 236,-334,-1700,1577,-6283,5027
47 8000 3526 236,806,2172,5449,13309,32159
48 8000 3526 236,806,2172,5449,13309,32159
49 8000 5596 236,806,1443,218,1198,2782
50 8000 3526 236,806,2172,5449,13309,32159
51 8000 4800 -236,-806,-2172,-5449,-13309,5541
52 8000 5596 236,806,1443,218,1198,2782
55 8000 5596 236,806,1443,218,1198,2782
57 8000 5596 236,806,1443,218,1198,2782
59 8000 4800 -236,-806,-2172,-5449,-13309,5541
